route_short_name,direction_id,shape_pt_lat,shape_pt_lon,shape_dist_traveled,route_long_name
VM3,0,63.394052,10.367051,0.0,Lohove- Sentrum- Hallset
VM3,0,63.393981,10.368455,71.0,Lohove- Sentrum- Hallset
VM3,0,63.393943,10.369682,132.0,Lohove- Sentrum- Hallset
VM3,0,63.393873,10.370179,158.0,Lohove- Sentrum- Hallset
VM3,0,63.393822,10.370225,164.0,Lohove- Sentrum- Hallset
VM3,0,63.393782,10.370306,170.0,Lohove- Sentrum- Hallset
VM3,0,63.393756,10.370413,176.0,Lohove- Sentrum- Hallset
VM3,0,63.39375,10.370565,184.0,Lohove- Sentrum- Hallset
VM3,0,63.39378,10.370731,193.0,Lohove- Sentrum- Hallset
VM3,0,63.393813,10.370804,198.0,Lohove- Sentrum- Hallset
VM3,0,63.393905,10.370869,209.0,Lohove- Sentrum- Hallset
VM3,0,63.393975,10.370835,217.0,Lohove- Sentrum- Hallset
VM3,0,63.39401,10.370783,222.0,Lohove- Sentrum- Hallset
VM3,0,63.394052,10.370646,230.0,Lohove- Sentrum- Hallset
VM3,0,63.394059,10.370456,239.0,Lohove- Sentrum- Hallset
VM3,0,63.394012,10.370266,250.0,Lohove- Sentrum- Hallset
VM3,0,63.393972,10.370204,256.0,Lohove- Sentrum- Hallset
VM3,0,63.393943,10.369682,282.0,Lohove- Sentrum- Hallset
VM3,0,63.393981,10.368455,343.0,Lohove- Sentrum- Hallset
VM3,0,63.394145,10.365023,516.0,Lohove- Sentrum- Hallset
VM3,0,63.394151,10.3642,557.0,Lohove- Sentrum- Hallset
VM3,0,63.394128,10.363508,592.0,Lohove- Sentrum- Hallset
VM3,0,63.394023,10.361779,679.0,Lohove- Sentrum- Hallset
VM3,0,63.394018,10.361426,697.0,Lohove- Sentrum- Hallset
VM3,0,63.394039,10.361015,717.0,Lohove- Sentrum- Hallset
VM3,0,63.394089,10.360612,738.0,Lohove- Sentrum- Hallset
VM3,0,63.394197,10.360079,768.0,Lohove- Sentrum- Hallset
VM3,0,63.394416,10.35944,808.0,Lohove- Sentrum- Hallset
VM3,0,63.39471,10.358627,860.0,Lohove- Sentrum- Hallset
VM3,0,63.395805,10.355753,1048.0,Lohove- Sentrum- Hallset
VM3,0,63.396191,10.354769,1114.0,Lohove- Sentrum- Hallset
VM3,0,63.396475,10.354338,1152.0,Lohove- Sentrum- Hallset
VM3,0,63.396509,10.354374,1156.0,Lohove- Sentrum- Hallset
VM3,0,63.396582,10.354357,1164.0,Lohove- Sentrum- Hallset
VM3,0,63.396702,10.354763,1189.0,Lohove- Sentrum- Hallset
VM3,0,63.39692,10.35529,1225.0,Lohove- Sentrum- Hallset
VM3,0,63.397364,10.356176,1291.0,Lohove- Sentrum- Hallset
VM3,0,63.397998,10.357257,1380.0,Lohove- Sentrum- Hallset
VM3,0,63.397982,10.357438,1389.0,Lohove- Sentrum- Hallset
VM3,0,63.398027,10.357576,1398.0,Lohove- Sentrum- Hallset
VM3,0,63.398097,10.357615,1406.0,Lohove- Sentrum- Hallset
VM3,0,63.398164,10.357525,1414.0,Lohove- Sentrum- Hallset
VM3,0,63.398182,10.357442,1419.0,Lohove- Sentrum- Hallset
VM3,0,63.399018,10.358127,1518.0,Lohove- Sentrum- Hallset
VM3,0,63.399311,10.35824,1552.0,Lohove- Sentrum- Hallset
VM3,0,63.399429,10.358237,1565.0,Lohove- Sentrum- Hallset
VM3,0,63.39956,10.358233,1579.0,Lohove- Sentrum- Hallset
VM3,0,63.399927,10.358071,1621.0,Lohove- Sentrum- Hallset
VM3,0,63.400951,10.357506,1739.0,Lohove- Sentrum- Hallset
VM3,0,63.401269,10.357397,1774.0,Lohove- Sentrum- Hallset
VM3,0,63.401275,10.357483,1779.0,Lohove- Sentrum- Hallset
VM3,0,63.401324,10.357618,1787.0,Lohove- Sentrum- Hallset
VM3,0,63.401367,10.357652,1793.0,Lohove- Sentrum- Hallset
VM3,0,63.401443,10.357614,1801.0,Lohove- Sentrum- Hallset
VM3,0,63.40149,10.357477,1810.0,Lohove- Sentrum- Hallset
VM3,0,63.401495,10.357408,1813.0,Lohove- Sentrum- Hallset
VM3,0,63.401739,10.357479,1841.0,Lohove- Sentrum- Hallset
VM3,0,63.402958,10.358007,1979.0,Lohove- Sentrum- Hallset
VM3,0,63.403632,10.358254,2055.0,Lohove- Sentrum- Hallset
VM3,0,63.403632,10.35835,2060.0,Lohove- Sentrum- Hallset
VM3,0,63.403675,10.358514,2070.0,Lohove- Sentrum- Hallset
VM3,0,63.403737,10.358574,2077.0,Lohove- Sentrum- Hallset
VM3,0,63.403822,10.358537,2087.0,Lohove- Sentrum- Hallset
VM3,0,63.403871,10.358411,2095.0,Lohove- Sentrum- Hallset
VM3,0,63.40388,10.35833,2099.0,Lohove- Sentrum- Hallset
VM3,0,63.403971,10.358386,2110.0,Lohove- Sentrum- Hallset
VM3,0,63.404629,10.358621,2184.0,Lohove- Sentrum- Hallset
VM3,0,63.405544,10.358961,2287.0,Lohove- Sentrum- Hallset
VM3,0,63.405798,10.359217,2319.0,Lohove- Sentrum- Hallset
VM3,0,63.405865,10.35925,2326.0,Lohove- Sentrum- Hallset
VM3,0,63.405928,10.359196,2334.0,Lohove- Sentrum- Hallset
VM3,0,63.406331,10.359303,2379.0,Lohove- Sentrum- Hallset
VM3,0,63.407744,10.359791,2538.0,Lohove- Sentrum- Hallset
VM3,0,63.410309,10.360782,2829.0,Lohove- Sentrum- Hallset
VM3,0,63.41145,10.361531,2961.0,Lohove- Sentrum- Hallset
VM3,0,63.412324,10.362442,3069.0,Lohove- Sentrum- Hallset
VM3,0,63.41303,10.363354,3160.0,Lohove- Sentrum- Hallset
VM3,0,63.41378,10.36464,3265.0,Lohove- Sentrum- Hallset
VM3,0,63.414362,10.365797,3352.0,Lohove- Sentrum- Hallset
VM3,0,63.414717,10.366614,3409.0,Lohove- Sentrum- Hallset
VM3,0,63.414907,10.367163,3443.0,Lohove- Sentrum- Hallset
VM3,0,63.415273,10.368043,3503.0,Lohove- Sentrum- Hallset
VM3,0,63.416053,10.36992,3631.0,Lohove- Sentrum- Hallset
VM3,0,63.416305,10.370441,3670.0,Lohove- Sentrum- Hallset
VM3,0,63.416688,10.371088,3723.0,Lohove- Sentrum- Hallset
VM3,0,63.416928,10.37142,3755.0,Lohove- Sentrum- Hallset
VM3,0,63.417827,10.372397,3866.0,Lohove- Sentrum- Hallset
VM3,0,63.418205,10.372748,3912.0,Lohove- Sentrum- Hallset
VM3,0,63.418291,10.372828,3922.0,Lohove- Sentrum- Hallset
VM3,0,63.418486,10.372931,3944.0,Lohove- Sentrum- Hallset
VM3,0,63.418648,10.372954,3962.0,Lohove- Sentrum- Hallset
VM3,0,63.418861,10.372927,3986.0,Lohove- Sentrum- Hallset
VM3,0,63.419061,10.372845,4009.0,Lohove- Sentrum- Hallset
VM3,0,63.41917,10.372682,4024.0,Lohove- Sentrum- Hallset
VM3,0,63.419281,10.372593,4037.0,Lohove- Sentrum- Hallset
VM3,0,63.419603,10.37251,4073.0,Lohove- Sentrum- Hallset
VM3,0,63.419754,10.37255,4090.0,Lohove- Sentrum- Hallset
VM3,0,63.420237,10.372896,4146.0,Lohove- Sentrum- Hallset
VM3,0,63.420419,10.372959,4167.0,Lohove- Sentrum- Hallset
VM3,0,63.421034,10.372959,4235.0,Lohove- Sentrum- Hallset
VM3,0,63.421367,10.372866,4273.0,Lohove- Sentrum- Hallset
VM3,0,63.422108,10.372405,4359.0,Lohove- Sentrum- Hallset
VM3,0,63.422384,10.372313,4390.0,Lohove- Sentrum- Hallset
VM3,0,63.42303,10.37235,4462.0,Lohove- Sentrum- Hallset
VM3,0,63.423226,10.372314,4484.0,Lohove- Sentrum- Hallset
VM3,0,63.423394,10.372209,4503.0,Lohove- Sentrum- Hallset
VM3,0,63.423606,10.372,4529.0,Lohove- Sentrum- Hallset
VM3,0,63.424551,10.370632,4654.0,Lohove- Sentrum- Hallset
VM3,0,63.425595,10.369109,4793.0,Lohove- Sentrum- Hallset
VM3,0,63.426112,10.36853,4858.0,Lohove- Sentrum- Hallset
VM3,0,63.427466,10.367268,5021.0,Lohove- Sentrum- Hallset
VM3,0,63.427602,10.367197,5037.0,Lohove- Sentrum- Hallset
