route_short_name,direction_id,shape_pt_lat,shape_pt_lon,shape_dist_traveled,route_long_name
VM23B,0,63.359616,10.37914,3156.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359669,10.379306,3166.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359712,10.379353,3172.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359761,10.379364,3177.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359847,10.379282,3187.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359876,10.379201,3193.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359892,10.378999,3203.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359849,10.378819,3213.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.35993,10.377587,3275.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359919,10.377263,3292.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359979,10.376477,3332.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.359984,10.376015,3355.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.36013,10.374456,3434.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360204,10.374077,3455.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.36025,10.373935,3464.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360366,10.373761,3479.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360393,10.373713,3483.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360431,10.373503,3495.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360418,10.373376,3501.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360391,10.373288,3506.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360407,10.372727,3535.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360499,10.372208,3563.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360534,10.372154,3567.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360574,10.37199,3577.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360574,10.371895,3581.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360563,10.371814,3586.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360512,10.371689,3594.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360476,10.371656,3598.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360798,10.368357,3767.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360866,10.368126,3781.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.360974,10.367907,3797.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.361077,10.367797,3810.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.361199,10.367748,3824.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.363091,10.367722,4035.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.363357,10.367796,4065.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.363557,10.368,4089.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364063,10.368726,4156.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364047,10.368905,4166.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364073,10.369078,4175.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364134,10.3692,4184.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364214,10.369237,4193.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364292,10.36918,4202.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364431,10.369267,4218.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364599,10.369437,4239.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364719,10.369704,4258.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.36476,10.369942,4270.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364773,10.370257,4286.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364732,10.370565,4302.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.364493,10.371496,4356.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.365142,10.37232,4439.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.365487,10.372837,4486.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.365986,10.373739,4557.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.366381,10.374339,4610.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.366845,10.375026,4673.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.367593,10.375766,4764.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.368175,10.376192,4832.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.36843,10.37634,4861.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.369135,10.376626,4941.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.369769,10.376735,5012.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370082,10.376797,5047.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370273,10.376884,5069.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.37028,10.375305,5148.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370312,10.374877,5170.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370344,10.374041,5212.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370353,10.373143,5257.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370588,10.369309,5450.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370843,10.364943,5670.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370881,10.363695,5733.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370876,10.363114,5762.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370866,10.361963,5820.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370802,10.359255,5955.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370614,10.355965,6121.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.37047,10.353345,6253.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370444,10.352872,6277.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370399,10.351001,6371.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.37039,10.35007,6418.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370429,10.349194,6462.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370517,10.348561,6495.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370664,10.347926,6530.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.370776,10.347574,6552.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.371176,10.346449,6624.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.371248,10.346318,6634.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.371316,10.346359,6642.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.371386,10.346335,6650.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.371446,10.34625,6658.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.372083,10.346991,6738.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.372573,10.347784,6806.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.372688,10.34768,6819.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.372753,10.347579,6828.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.372816,10.347313,6843.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.372837,10.3469,6864.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.372956,10.346216,6901.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373031,10.345513,6937.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373274,10.34551,6964.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373356,10.345614,6974.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.37336,10.345886,6988.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373381,10.346089,6999.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373425,10.34623,7007.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373511,10.346348,7018.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373575,10.346358,7026.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373625,10.34632,7031.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373669,10.346195,7039.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
VM23B,0,63.373668,10.346089,7045.0,Brattøra - St. Olavs - Hallset - Flatåsen - Sandmoen
